Name,Global_Sales
Duck Hunt,28.31
New Super Mario Bros. Wii,28.62
Wii Play,29.02
New Super Mario Bros.,30.01
Tetris,30.26
Pokemon Red/Pokemon Blue,31.37
Wii Sports Resort,33
Mario Kart Wii,35.82
Super Mario Bros.,40.24
Wii Sports,82.74
